Name,Quantity,SuggestedPrice
Acai Berry,412,5.4800000000
Adamantite,90,16.6500000000
Alchemical Resin,145,7.6600000000
Alkahest,2695,2.8400000000
Almandine,399,0.9300000000
Amethyst,143,1.5900000000
Ancestor Silk,672,20.5800000000
Ancient Sandstone,53,14.2000000000
Ancient Scale,3,17.0300000000
Antimony,30,35.6000000000
Apples,398,6.9300000000
Argent Pelt,9,72.4000000000
Argentum,267,7.1100000000
Arkthzand Sprocket,6,2211.6400000000
Ash Canvas,19,19.0800000000
Ashes Of Remorse,5,8.1900000000
Aurbic Amber,2,8438.9400000000
Auric Tusk,9,65.1700000000
Auroran Dust,2,352.3000000000
Azure Plasm,189,9.3700000000
Bananas,170,8.7700000000
Barley,317,5.4600000000
Bast,55,23.9200000000
Bat Oil,4,150.0500000000
Beetle Scuttle,89,128.8900000000
Beets,212,5.7600000000
Bervez Juice,157,162.5800000000
Bittergreen,263,5.4400000000
Black Beeswax,3,66.0800000000
Blessed Thistle,74,123.3900000000
Blood Of Sahrotnax,5,340.9200000000
Bloodroot Flux,5,130.2500000000
Bloodscent Dew,16,90.9900000000
Bloodstone,417,0.9700000000
Blue Entoloma,110,53.0900000000
Boiled Carapace,13,112.8900000000
Bone,27,17.8800000000
Bronze,141,5.9200000000
Bugloss,97,123.8900000000
Butterfly Wing,39,77.2800000000
Calcinium Ingot,108,9.6900000000
Calcinium Ore,9,10.6400000000
Carmine Shieldsilk,73,293.9800000000
Carnelian,99,13.3400000000
Carrots,189,6.2900000000
Cassiterite,30,47.2000000000
Charcoal Of Remorse,40,37.3500000000
Cheese,357,7.0600000000
Chromium Grains,1,11568.4600000000
Chromium Plating,1,127967.5000000000
Chysolite,167,0.9100000000
Citrine,154,1.1900000000
Clam Gall,1,5286.9500000000
Clean Pelt,208,8.3800000000
Cleansed Water,65,51.3500000000
Clear Water,73,11.1700000000
Coarse Chalk,4,22.0100000000
Cobalt,23,74.2600000000
Coffee,347,6.1400000000
Columbine,65,336.0200000000
Comberry,218,5.6300000000
Consecrated Myrrh,9,436.8300000000
Copper Dust,6,86.4300000000
Copper Ounce,1070,9.7600000000
Corn,198,8.5200000000
Corn Flower,77,487.6500000000
Corundum,90,16.6200000000
Cotton,454,9.5300000000
Crawlers Foul Bait,994,3.2300000000
Crocodile Leather,2,225.2600000000
Crown Mimic Stone,60,0.0000000000
Culanda Lacquer,63,1522.5600000000
Daedra Heart,440,40.8400000000
Decorative Wax,199,385.8500000000
Defiled Whiskers,4,45.6000000000
Dekeipa,94,8.8400000000
Denara,10,99.5600000000
Denata,256,4.7700000000
Deni,162,11.0100000000
Denima,90,7.8800000000
Desecrated Grave Soil,6,52.5600000000
Deteri,64,7.6600000000
Diamond,343,1.1600000000
Dibellium,32,3309.8800000000
Dragon Bone,4,3937.3800000000
Dragon Scute,5,37.1500000000
Dragonthorn,213,59.9800000000
Dragonthread,8,66.2700000000
Dreugh Wax,43,8792.6600000000
Dried Blood,2,20.6200000000
Dwarven Ingot,727,5.4300000000
Dwarven Oil,502,14.9000000000
Dwarven Ore,3,33.3300000000
Dwemer Frame,37,832.1200000000
Dwemer Scrap,13,23.7800000000
Eagle Feather,4,34.1700000000
Ebonthread,280,15.5800000000
Ebony Ingot,489,8.9500000000
Edode,1,63.7400000000
Edora,50,76.4900000000
Electrum Dust,7,59.4600000000
Electrum Ounce,193,30.4600000000
Elegant Lining,231,211.0500000000
Embroidery,638,12.8300000000
Emerald,276,7.1400000000
Emetic Russula,31,61.4700000000
Fell Hide,263,11.0400000000
Fell Hide Scraps,1,7.8300000000
Ferrous Salts,7,37.5800000000
Fine Chalk,5,30.6600000000
Fire Opal,172,2.9100000000
Fish,2092,5.6800000000
Fish Roe Foul Bait,76,15.8300000000
Flax,690,5.9500000000
Fleshfly Larva,449,31.6800000000
Flint,32,15.9600000000
Flour,475,58.7900000000
Frost Mirriam,137,72.2300000000
Fryse Willow,9,3055.0900000000
Galatite Ingot,321,9.5100000000
Galatite Ore,4,16.3600000000
Gall,99,12.8400000000
Game,210,7.1200000000
Garlic,393,8.7300000000
Garnet,314,0.9400000000
Gilding Salts,4,342.8100000000
Ginger,552,5.7200000000
Ginkgo,403,4.8400000000
Ginseng,306,4.8200000000
Gloomspore Chitin,1,95.1700000000
Goldscale,20,62.6600000000
Grain Solvent,180,443.6000000000
Grease,932,0.8500000000
Greens,242,7.7000000000
Gryphon Plume,4,120.3400000000
Guarana,446,5.2100000000
Guts Lake Bait,565,10.3400000000
Hackwing Plumage,9,1051.8900000000
Hade,7,90.8100000000
Haoko,38,13.2300000000
Heartwood,105,405.1900000000
Hemming,361,11.5700000000
Hide,558,6.3500000000
Hide Scraps,26,16.8100000000
High Iron Ore,7,27.2100000000
Honey,383,12.8700000000
Honing Stone,353,11.9300000000
Ichor,771,4.4100000000
Idode,10,107.5500000000
Imp Stool,25,51.2900000000
Infected Flesh,2,167.2900000000
Insect Parts River Bait,351,3.6300000000
Iridium Grains,9,779.0300000000
Iridium Plating,15,8476.4000000000
Iron Hide,197,25.8500000000
Iron Hide Scraps,3,6.6500000000
Iron Ingot,1092,4.3000000000
Iron Ore,1,23.5500000000
Ironthread,188,27.3600000000
Isinglass,529,6.5100000000
Itade,120,9.1900000000
Jade,129,1.8700000000
Jaera,24,40.2500000000
Jasmine,290,5.5800000000
Jayde,14,60.4700000000
Jazbay Grapes,250,8.3600000000
Jehade,130,9.1200000000
Jejora,12,77.4900000000
Jejota,616,1.6800000000
Jera,9,69.5300000000
Jode,16,36.6800000000
Jora,8,34.2800000000
Jute,252,6.4400000000
Kaderi,47,7.7600000000
Kedeko,2,123.7200000000
Kresh Fiber,63,32.4500000000
Kude,4,9.1600000000
Kuoko,33,8.0800000000
Kura,26,21.7200000000
Kuta,22,2285.6200000000
Lady's Smock,180,145.0700000000
Laurel,74,8.4200000000
Leather,553,6.4300000000
Leather Scraps,6,13.8500000000
Lemon,435,7.9700000000
Lion Fang,2,43.8200000000
Lorkhan's Tears,415,17.6000000000
Lotus,201,5.3100000000
Luminous Russula,27,51.2900000000
Lustrous Sphalerite,15,29.0600000000
Makderi,37,11.7100000000
Makko,158,14.5100000000
Makkoma,80,6.8800000000
Malachite,20,184.4200000000
Malachite Shard,14,24.1100000000
Manganese,89,15.2100000000
Mastic,92,886.3400000000
Meip,82,7.2500000000
Melon,187,7.8800000000
Metheglin,463,6.3700000000
Millet,517,6.6500000000
Minnow Lake Bait,66,9.9600000000
Minotaur Bezoar,1,252.4300000000
Mint,281,6.1900000000
Molybdenum,84,16.7800000000
Moonstone,25,16.4800000000
Mountain Flower,194,75.8200000000
Mudcrab Chitin,4,250.8700000000
Mundane Rune,103,478.8600000000
Namira's Rot,97,111.6300000000
Natural Water,211,6.8400000000
Nickel,56,17.8400000000
Night-Oil,146,12.1500000000
Nightshade,5,167.4500000000
Nirnroot,100,65.3900000000
Notade,9,12.3900000000
Oath Cord,2,503.1500000000
Obsidian,38,16.2600000000
Ochre,52,16.5300000000
Ode,6,66.4900000000
Odra,24,67.5700000000
Oko,113,119.7700000000
Okoma,43,7.7200000000
Okori,44,9.3300000000
Orichalcum Ingot,801,5.3300000000
Orichalcum Ore,7,25.8200000000
Oru,51,7.0900000000
Oxblood Fungus,4,202.8000000000
Oxblood Fungus Spore,6,59.1800000000
Palladium,85,7.4300000000
Pearl Sand,3,112.1000000000
Pewter Dust,5,95.5500000000
Pewter Ounce,1320,5.0900000000
Pitch,292,53.1900000000
Platinum Dust,4,115.6600000000
Platinum Ounce,1567,23.3100000000
Pliant Ferrofungus,7,116.6700000000
Pojode,22,31.2800000000
Pojora,13,72.6600000000
Polished Scarab Elytra,1,392.4000000000
Pora,34,91.9200000000
Porade,45,11.1200000000
Potash,13,146.8600000000
Potato,208,24.9000000000
Poultry,195,13.8000000000
Powdered Mother Of Pearl,1,5092.2500000000
Pristine Shroud,13,47.2500000000
Pristine Water,14,44.3800000000
Pulverized Antimony,3,13.6100000000
Pulverized Aurbic Amber,5,153.1400000000
Pulverized Cobalt,7,10.5600000000
Pulverized Dibellium,6,29.0700000000
Pulverized Titanium,1,45.8300000000
Pulverized Zinc,2,13.9500000000
Pumpkin,219,9.7500000000
Quartz,370,0.7400000000
Quicksilver Ingot,268,9.7400000000
Quicksilver Ore,8,19.6100000000
Radish,147,5.7300000000
Rakeipa,78,105.9800000000
Raw Ancestor Silk,96,54.4200000000
Raw Bonemold Resin,5,250
Raw Cotton,3,37.6900000000
Raw Flax,3,40.6800000000
Raw Ironweed,9,11.7400000000
Raw Jute,26,30.1500000000
Raw Kreshweed,6,27.0100000000
Raw Silverweed,2,15.1500000000
Raw Void Bloom,3,13.9000000000
Rawhide,972,4.7900000000
Rawhide Scraps,140,23.5100000000
Red Meat,437,9.2900000000
Refined Bonemold Resin,7,1286.0600000000
Regulus,82,22.8800000000
Rejera,171,9.4100000000
Rekude,17,71.6100000000
Rekura,4,116.9800000000
Rekuta,150,37.2400000000
Repora,190,36.0100000000
Rera,1,117.8100000000
Rice,255,7.5500000000
Rogue's Soot,29,45.8200000000
Rose,273,5.5600000000
Rosin,35,3489.4700000000
Rough Ash,7,6.0200000000
Rough Beech,3,11.0900000000
Rough Birch,8,18.3000000000
Rough Hickory,4,15.2700000000
Rough Mahogany,2,7.1000000000
Rough Maple,10,14.7300000000
Rough Nightwood,2,4.6600000000
Rough Oak,11,13.6900000000
Rough Ruby Ash,127,29.0800000000
Rubedite Ingot,3885,6.2200000000
Rubedite Ore,27,37.9800000000
Rubedo Hide Scraps,185,53.2100000000
Rubedo Leather,1594,14.5300000000
Ruby,168,2.0500000000
Rye,435,5.5100000000
Saltrice,475,6.6700000000
Sanded Ash,230,9.6200000000
Sanded Beech,324,4.5600000000
Sanded Birch,270,9.5700000000
Sanded Hickory,536,4.7600000000
Sanded Mahogany,126,10.0900000000
Sanded Maple,953,4.0100000000
Sanded Nightwood,757,8.1400000000
Sanded Oak,779,4.1000000000
Sanded Ruby Ash,2258,6.0800000000
Sanded Yew,247,6.7000000000
Sapphire,307,1.8200000000
Sardonyx,477,0.7700000000
Scarab Elytra,9,384.5400000000
Scrib Jelly,146,236.1800000000
Sea Serpent Hide,1,142.8000000000
Seasoning,277,7.2900000000
Seaweed,426,5.6700000000
Shad River Bait,11,9.6600000000
Shadowhide,587,8.4900000000
Shadowhide Scraps,3,18.9200000000
Shimmering Sand,2,2228.3800000000
Silver Dust,1,69.2600000000
Silver Ounce,97,39.8500000000
Silverweave,150,29.4600000000
Slaughterstone,1,1427.9600000000
Slime,109,10.7700000000
Small Game,223,23.9900000000
Spider Egg,178,42.4600000000
Spidersilk,510,9.8500000000
Star Dew,102,39.2600000000
Starmetal,88,15.9700000000
Steel Ingot,1326,4.5700000000
Stinkhorn,63,61.2600000000
Superb Hide,94,26.8700000000
Superb Hide Scraps,2,5.4000000000
Surilie Grapes,355,5.5200000000
Ta,589,3.8000000000
Tade,8,54.1400000000
Taderi,46,9.5200000000
Tainted Blood,35,51.8400000000
Tarblack,15,27.9100000000
Tempering Alloy,35,7892.6400000000
Tenebrous Cord,3,52.9000000000
Terebinthine,172,33.2200000000
Terne Grains,1,101.1500000000
Terne Plating,28,1074.4200000000
Thick Leather,561,7.8500000000
Thick Leather Scraps,3,16.4800000000
Titanium,5,410.3200000000
Tomato,373,7.9600000000
Topgrain Hide,105,23.2200000000
Topgrain Hide Scraps,4,9.5500000000
Torchbug Thorax,15,315.2000000000
Turpen,310,21.2100000000
Turquoise,193,1.1900000000
Vile Coagulant,1,1663.8200000000
Violet Coprinus,9,135.8100000000
Viridian Dust,9,17.9400000000
Vitrified Malondo,9,203.5800000000
Void Cloth,594,11.1000000000
Voidstone Ingot,1082,7.1200000000
Voidstone Ore,1,15.1600000000
Volcanic Viridian,3,146.4300000000
Warrior's Heart Ashes,2,152.3400000000
Water Hyacinth,142,110.2100000000
Wheat,278,4.7600000000
White Cap,80,42.3800000000
White Meat,169,11.6300000000
Worms Saltwater Bait,73,14.5100000000
Wormwood,254,84.3400000000
Wrought Ferrofungus,7,143.2100000000
Yeast,322,5.9000000000
Yerba Mate,384,4.6400000000
Zinc,29,65.6700000000
Zircon Grains,5,3339.7900000000
Zircon Plating,3,35123.4500000000
